,Address,Latitude,Longitude
0,Warje,18.4820444,73.8001705
1,Akurdi,18.6486364,73.764716
2,Nigdi,18.6607674,73.7778262
3,Magarpatta,18.5111545,73.92738227328095
4,Kondhwa,18.4779905,73.8940627
5,Parvati,16.0395701,75.7898501
6,Pimple Saudagar,18.5981553,73.7977661
7,Pimpri,18.6229526,73.8025117
8,Kondhwa,18.4779905,73.8940627
9,Warje,18.4820444,73.8001705
10,Kalyani Nagar,18.5481732,73.90075640909583
11,Vishrantwadi,18.57263,73.87825
12,Chandan Nagar,26.740462,94.22056457187594
13,Warje,18.4820444,73.8001705
14,Sinhgad Road,18.454670399999998,73.8190089
15,Pune-Solapur Road,18.5062919,73.9084009
16,Chinchwad,18.6403548,73.7917128
17,Dhole Patil Road,18.5348981,73.8767104
18,Bhosari,18.6210093,73.8501298
19,Chandan Nagar,26.740462,94.22056457187594
20,Kalyani Nagar,18.5481732,73.90075640909583
21,Bhosari,18.6210093,73.8501298
22,Narhe,18.1919971,73.8594505
23,Hadapsar,18.526967,73.9278252
24,Kothrud,18.5038889,73.807673
25,Law College Road,27.4901605,95.3619379
26,Sadashiv Peth,18.5107764,73.8502149
27,Sadashiv Peth,18.5107764,73.8502149
28,Rasta Peth,17.6588359,75.9056344
29,Kharadi,18.5512763,73.9416575
30,Katraj,18.4536792,73.8563196
31,Kharadi,18.5512763,73.9416575
32,Chinchwad,18.6403548,73.7917128
33,NIBM Road,18.46855,73.9005278
34,Wakad,18.6022495,73.7644454
35,Viman Nagar,17.4467567,78.4838203
36,Kothrud,18.5038889,73.807673
37,Viman Nagar,17.4467567,78.4838203
38,Katraj,18.4536792,73.8563196
39,Katraj,18.4536792,73.8563196
40,Bibvewadi,18.4781739,73.862105
41,Dehu Road,18.680047,73.7343306
42,Wagholi,21.196801,77.92382070488121
43,Warje,18.4820444,73.8001705
44,Baner,19.5322824,82.8086975
45,Law College Road,27.4901605,95.3619379
46,Erandwane,,
47,Chinchwad,18.6403548,73.7917128
48,Erandwane,,
49,SB Road - Aundh,18.5551132,73.797677
50,JM Road,17.954716400000002,-76.88343317312439
51,FC Road,18.5156952,73.8420323
52,Pashan,18.5386704,73.7952542
53,Katraj,18.4536792,73.8563196
54,Bhosari,18.6210093,73.8501298
55,Hinjawadi,18.5927532,73.7382151
56,Balewadi,18.5820266,73.7689831
57,Katraj,18.4536792,73.8563196
58,Balewadi,18.5820266,73.7689831
59,Kothrud,18.5038889,73.807673
60,Hinjawadi,18.5927532,73.7382151
61,Hadapsar,18.526967,73.9278252
62,Sadashiv Peth,18.5107764,73.8502149
63,Lonavala,18.7548563,73.4016729
64,Kharadi,18.5512763,73.9416575
65,NIBM Road,18.46855,73.9005278
66,Akurdi,18.6486364,73.764716
67,Kharadi,18.5512763,73.9416575
68,Kondhwa,18.4779905,73.8940627
69,Baner,19.5322824,82.8086975
70,Hadapsar,18.526967,73.9278252
71,Narhe,18.1919971,73.8594505
72,Katraj,18.4536792,73.8563196
73,Kothrud,18.5038889,73.807673
74,Dhankawadi,18.4652208,73.8495579
75,Wagholi,21.196801,77.92382070488121
76,Bhosari,18.6210093,73.8501298
77,Pimpri,18.6229526,73.8025117
78,Hadapsar,18.526967,73.9278252
79,SB Road - Aundh,18.5551132,73.797677
80,Pimple Gurav,18.5874457,73.8213076
81,Parvati,16.0395701,75.7898501
82,Kothrud,18.5038889,73.807673
83,Balewadi,18.5820266,73.7689831
84,Talegaon,18.7351057,73.6720899
85,Katraj,18.4536792,73.8563196
86,Baner,19.5322824,82.8086975
87,Chakan,25.7831685,76.2848274
88,Yerawada,18.5656319,73.8865762
89,Wagholi,21.196801,77.92382070488121
90,Shivapur,27.6245202,83.5125119
91,Model Colony,18.5314302,73.8374513
92,Bavdhan,18.5209541,73.7780873
93,Pimple Gurav,18.5874457,73.8213076
94,Pimpri,18.6229526,73.8025117
95,Sinhgad Road,18.454670399999998,73.8190089
96,Wakad,18.6022495,73.7644454
97,Sinhgad Road,18.454670399999998,73.8190089
98,Pune-Solapur Road,18.5062919,73.9084009
99,Chinchwad,18.6403548,73.7917128
100,Salunkhe Vihar Road,18.4817595,73.8975331
101,Parvati,16.0395701,75.7898501
102,Sinhgad Road,18.454670399999998,73.8190089
103,Kothrud,18.5038889,73.807673
104,Pimple Saudagar,18.5981553,73.7977661
105,Swargate,18.49968545,73.85688275180982
106,Bibvewadi,18.4781739,73.862105
107,Warje,18.4820444,73.8001705
108,Hadapsar,18.526967,73.9278252
109,Pimple Nilakh,18.5696793,73.7940824
110,Baner,19.5322824,82.8086975
111,Kothrud,18.5038889,73.807673
112,Kharadi,18.5512763,73.9416575
113,Hadapsar,18.526967,73.9278252
114,Bavdhan,18.5209541,73.7780873
115,Lonavala,18.7548563,73.4016729
116,Wakad,18.6022495,73.7644454
117,Hinjawadi,18.5927532,73.7382151
118,Rasta Peth,17.6588359,75.9056344
119,Viman Nagar,17.4467567,78.4838203
120,Mulshi Road,18.611846,73.7171417
121,Balewadi,18.5820266,73.7689831
122,Old Mumbai-Pune Highway,18.6075526,73.8218069
123,Mulshi Road,18.611846,73.7171417
124,Shivapur,27.6245202,83.5125119
125,Shaniwar Peth,17.2755514,74.1826652
126,Pimpri,18.6229526,73.8025117
127,Swargate,18.49968545,73.85688275180982
128,Camp Area,23.2449345,69.6795416
129,Hinjawadi,18.5927532,73.7382151
130,Bhosari,18.6210093,73.8501298
131,Warje,18.4820444,73.8001705
132,Akurdi,18.6486364,73.764716
133,Mundhwa,18.5336727,73.9317831
134,Kothrud,18.5038889,73.807673
135,Viman Nagar,17.4467567,78.4838203
136,Balewadi,18.5820266,73.7689831
137,Sadashiv Peth,18.5107764,73.8502149
138,Hadapsar,18.526967,73.9278252
139,Kothrud,18.5038889,73.807673
140,Balewadi,18.5820266,73.7689831
141,Bhosari,18.6210093,73.8501298
142,Lonavala,18.7548563,73.4016729
143,Aundh,18.5618834,73.8101957
144,Bavdhan,18.5209541,73.7780873
145,Chinchwad,18.6403548,73.7917128
146,Wagholi,21.196801,77.92382070488121
147,Wakad,18.6022495,73.7644454
148,FC Road,18.5156952,73.8420323
149,Hadapsar,18.526967,73.9278252
150,Katraj,18.4536792,73.8563196
151,Kharadi,18.5512763,73.9416575
152,Mundhwa,18.5336727,73.9317831
153,Aundh,18.5618834,73.8101957
154,Kondhwa,18.4779905,73.8940627
155,Rasta Peth,17.6588359,75.9056344
156,Hadapsar,18.526967,73.9278252
157,Karve Nagar,18.4894205,73.821347
158,Vishrantwadi,18.57263,73.87825
159,Nigdi,18.6607674,73.7778262
160,Wagholi,21.196801,77.92382070488121
161,Baner,19.5322824,82.8086975
162,Nigdi,18.6607674,73.7778262
163,Kothrud,18.5038889,73.807673
164,Baner,19.5322824,82.8086975
165,Wakad,18.6022495,73.7644454
166,Wanowrie,18.4883683,73.8986672
167,Bavdhan,18.5209541,73.7780873
168,Hinjawadi,18.5927532,73.7382151
169,Hadapsar,18.526967,73.9278252
170,Vishrantwadi,18.57263,73.87825
171,Wagholi,21.196801,77.92382070488121
172,Pimpri,18.6229526,73.8025117
173,Dange Chowk,18.6156694,73.765352
174,Ravet,18.643269,73.7450557
175,Ravet,18.643269,73.7450557
176,Magarpatta,18.5111545,73.92738227328095
177,Kalyani Nagar,18.5481732,73.90075640909583
178,Wakad,18.6022495,73.7644454
179,Vishrantwadi,18.57263,73.87825
180,Baner,19.5322824,82.8086975
181,Bhugaon,20.9493663,79.93758331482715
182,Mundhwa,18.5336727,73.9317831
183,Sinhgad Road,18.454670399999998,73.8190089
184,Old Mumbai-Pune Highway,18.6075526,73.8218069
185,Old Mumbai-Pune Highway,18.6075526,73.8218069
186,Karve Nagar,18.4894205,73.821347
187,Hadapsar,18.526967,73.9278252
