,Unnamed: 0,Restaurant_Name,Locality_Restaurant,Ratings_out_of_5_Restaurant,Price_Restaurant,Price Level__Restaurant,Latitude_x__Restaurant,Longitude_x__Restaurant,Nearest_Place_Index_0,Distance_to_Place_0_from__Restaurant,Name_Place,Latitude_place_0_x,Longitude_place_0_x,Rating_Place,Place_ID_Place,amusement_park_Place,art_gallery_Place,campground_Place,car_rental_Place,cemetery_Place,church_Place,establishment_Place,finance_Place,food_Place,gym_Place,health_Place,hindu_temple_Place,lodging_Place,museum_Place,park_Place,place_of_worship_Place,point_of_interest_Place,real_estate_agency_Place,shopping_mall_Place,store__Place,synagogue_Place,tourist_attraction_Place,travel_agency_Place,zoo_Place,Hotel_name,area_Hotel,hotel_star_rating_Hotel,mmt_review_score_Hotel,Price_Hotel,Longitude_Hotel,Latitude_Hotel,Distance_to_Place_form_Hotel,budget,budget_level
10,10,BeHive,Hinjawadi,4,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2600,3
11,11,BeHive,Hinjawadi,4,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3147,3
12,12,BeHive,Hinjawadi,4,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2593,3
13,13,BeHive,Hinjawadi,4,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2840,3
14,14,BeHive,Hinjawadi,4,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2113,2
15,15,Tarsh Gastronomia,Hinjawadi,4.4,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2650,3
16,16,Tarsh Gastronomia,Hinjawadi,4.4,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3197,3
17,17,Tarsh Gastronomia,Hinjawadi,4.4,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2643,3
18,18,Tarsh Gastronomia,Hinjawadi,4.4,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2890,3
19,19,Tarsh Gastronomia,Hinjawadi,4.4,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2163,2
20,20,Publiq,Hinjawadi,4,800,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2700,3
21,21,Publiq,Hinjawadi,4,800,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3247,3
22,22,Publiq,Hinjawadi,4,800,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2693,3
23,23,Publiq,Hinjawadi,4,800,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2940,3
24,24,Publiq,Hinjawadi,4,800,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2213,2
25,25,The FML Lounge,Hinjawadi,4.3,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2650,3
26,26,The FML Lounge,Hinjawadi,4.3,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3197,3
27,27,The FML Lounge,Hinjawadi,4.3,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2643,3
28,28,The FML Lounge,Hinjawadi,4.3,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2890,3
29,29,The FML Lounge,Hinjawadi,4.3,750,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2163,2
30,30,Spice Factory,Hinjawadi,4,1000,3,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2900,3
31,31,Spice Factory,Hinjawadi,4,1000,3,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3447,3
32,32,Spice Factory,Hinjawadi,4,1000,3,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2893,3
33,33,Spice Factory,Hinjawadi,4,1000,3,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,3140,3
34,34,Spice Factory,Hinjawadi,4,1000,3,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2413,2
35,35,Universal Barbeque,Hinjawadi,4.5,600,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2500,2
36,36,Universal Barbeque,Hinjawadi,4.5,600,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3047,3
37,37,Universal Barbeque,Hinjawadi,4.5,600,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2493,2
38,38,Universal Barbeque,Hinjawadi,4.5,600,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2740,3
