,Address,Latitude,Longitude
0,Dhole Patil Road,18.5348981,73.8767104
1,Baner,19.5322824,82.8086975
2,Nigdi,18.6607674,73.7778262
3,Baner,19.5322824,82.8086975
4,Kothrud,18.5038889,73.807673
5,Baner,19.5322824,82.8086975
6,Yerawada,18.5656319,73.8865762
7,Shivaji Nagar,25.88455445,86.03985031384562
8,Viman Nagar,17.4467567,78.4838203
9,Hadapsar,18.526967,73.9278252
10,Kharadi,18.5512763,73.9416575
11,Pimple Saudagar,18.5981553,73.7977661
12,Koregaon Park,18.5377173,73.8929915
13,Nigdi,18.6607674,73.7778262
14,Shivaji Nagar,25.88455445,86.03985031384562
15,Wadgaon Sheri,18.5504406,73.9171674562999
16,Magarpatta,18.5111545,73.92738227328095
17,Sadashiv Peth,18.5107764,73.8502149
18,Chinchwad,18.6403548,73.7917128
19,Viman Nagar,17.4467567,78.4838203
20,Chinchwad,18.6403548,73.7917128
21,Viman Nagar,17.4467567,78.4838203
22,Kothrud,18.5038889,73.807673
23,Aundh,18.5618834,73.8101957
24,Senapati Bapat Road,19.0121711,72.8360819
25,Viman Nagar,17.4467567,78.4838203
26,Hadapsar,18.526967,73.9278252
27,Hinjawadi,18.5927532,73.7382151
28,Sinhgad Road,18.454670399999998,73.8190089
29,Wakad,18.6022495,73.7644454
30,Karve Nagar,18.4894205,73.821347
31,Viman Nagar,17.4467567,78.4838203
32,Wakad,18.6022495,73.7644454
33,Sinhgad Road,18.454670399999998,73.8190089
34,NIBM Road,18.46855,73.9005278
35,Baner,19.5322824,82.8086975
36,Kharadi,18.5512763,73.9416575
37,Wakad,18.6022495,73.7644454
38,Aundh,18.5618834,73.8101957
39,Viman Nagar,17.4467567,78.4838203
40,Pimple Saudagar,18.5981553,73.7977661
41,Kalyani Nagar,18.5481732,73.90075640909583
42,Kothrud,18.5038889,73.807673
43,JM Road,17.954716400000002,-76.88343317312439
44,Wakad,18.6022495,73.7644454
45,Mahalunge,16.5435593,74.1472381
46,Lohegaon,18.580374900000002,73.9182264958952
47,Kharadi,18.5512763,73.9416575
48,Hinjawadi,18.5927532,73.7382151
49,Erandwane,,
50,Magarpatta,18.5111545,73.92738227328095
51,Wakad,18.6022495,73.7644454
52,Sinhgad Road,18.454670399999998,73.8190089
53,Viman Nagar,17.4467567,78.4838203
54,Viman Nagar,17.4467567,78.4838203
55,Sadashiv Peth,18.5107764,73.8502149
56,Tilak Road,25.4319157,81.8384116
57,Nigdi,18.6607674,73.7778262
58,Viman Nagar,17.4467567,78.4838203
59,Karve Nagar,18.4894205,73.821347
60,Viman Nagar,17.4467567,78.4838203
61,Nigdi,18.6607674,73.7778262
62,Wakad,18.6022495,73.7644454
63,Law College Road,27.4901605,95.3619379
64,Koregaon Park,18.5377173,73.8929915
65,Old Mumbai-Pune Highway,18.6075526,73.8218069
66,Sadashiv Peth,18.5107764,73.8502149
67,Bund Garden Road,18.5328634,73.8790124
68,Shukrawar Peth,18.5113537,73.8540109
69,Katraj,18.4536792,73.8563196
70,Kondhwa,18.4779905,73.8940627
71,Model Colony,18.5314302,73.8374513
72,Wakad,18.6022495,73.7644454
73,Kothrud,18.5038889,73.807673
74,Sadashiv Peth,18.5107764,73.8502149
75,Baner,19.5322824,82.8086975
76,Karve Nagar,18.4894205,73.821347
77,Wakad,18.6022495,73.7644454
78,Bhosari,18.6210093,73.8501298
79,Pimple Nilakh,18.5696793,73.7940824
80,Pashan,18.5386704,73.7952542
81,Kondhwa,18.4779905,73.8940627
82,Bibvewadi,18.4781739,73.862105
83,Bibvewadi,18.4781739,73.862105
84,Hinjawadi,18.5927532,73.7382151
85,Kothrud,18.5038889,73.807673
86,Kharadi,18.5512763,73.9416575
87,Wakad,18.6022495,73.7644454
88,Shivaji Nagar,25.88455445,86.03985031384562
89,Deccan & Peths,,
90,Shivaji Nagar,25.88455445,86.03985031384562
91,Kharadi,18.5512763,73.9416575
92,Viman Nagar,17.4467567,78.4838203
93,Kothrud,18.5038889,73.807673
94,Katraj,18.4536792,73.8563196
95,Sinhgad Road,18.454670399999998,73.8190089
96,Wakad,18.6022495,73.7644454
97,Aundh,18.5618834,73.8101957
98,Kothrud,18.5038889,73.807673
99,Deccan Gymkhana,18.5158926,73.84116
100,Baner,19.5322824,82.8086975
101,Karve Nagar,18.4894205,73.821347
102,Kharadi,18.5512763,73.9416575
103,Kalyani Nagar,18.5481732,73.90075640909583
104,Viman Nagar,17.4467567,78.4838203
105,Wakad,18.6022495,73.7644454
106,FC Road,18.5156952,73.8420323
107,Wakad,18.6022495,73.7644454
108,Katraj,18.4536792,73.8563196
109,Kondhwa,18.4779905,73.8940627
110,Hinjawadi,18.5927532,73.7382151
111,Kharadi,18.5512763,73.9416575
112,Sinhgad Road,18.454670399999998,73.8190089
113,Baner,19.5322824,82.8086975
114,Shivaji Nagar,25.88455445,86.03985031384562
115,Ghorpadi,17.1845421,74.9868071
116,Bhugaon,20.9493663,79.93758331482715
117,Bund Garden Road,18.5328634,73.8790124
118,FC Road,18.5156952,73.8420323
119,Katraj,18.4536792,73.8563196
120,Sinhgad Road,18.454670399999998,73.8190089
121,Kothrud,18.5038889,73.807673
122,Akurdi,18.6486364,73.764716
123,Dhanori,21.2248362,80.0915946
124,Pimple Nilakh,18.5696793,73.7940824
125,Sadashiv Peth,18.5107764,73.8502149
126,Erandwane,,
127,Sadashiv Peth,18.5107764,73.8502149
128,Senapati Bapat Road,19.0121711,72.8360819
129,Bavdhan,18.5209541,73.7780873
